FECHA_CORTE,NOM_RPT,PARAM_HECHO,HECHO,SEXO,ETNIA,DISCAPACIDAD,CICLO_VITAL,PER_OCU,PER_SA,EVENTOS
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Auditiva","entre 29 y 59","4","4","4",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 18 y 28","1","1","1",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 60 y 110","12","11","14",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Fisica","entre 29 y 59","13","13","13",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Intelectual","entre 29 y 59","5","5","6",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Multiple","entre 60 y 110","2","2","2",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Multiple","entre 29 y 59","7","7","7",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 12 y 17","1","1","1",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 18 y 28","33","33","34",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 60 y 110","27","26","27",
"31/08/2025 12:00:00 a. m.","REPORTE VICTIMAS POR HECHO, CIFRA NACIONAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Sujetos Atención y Eventos)","1","Acto terrorista / Atentados / Combates / Enfrentamientos / Hostigamientos","Hombre","Afrocolombiano (Acreditado RA)","Ninguna","entre 29 y 59","110","109","120",
